t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.930632000000003,-32.546568,0.0
0.01,8.27643358593e-09,-1.349164286506e-08,0.0,3.307735732051e-06,-5.389656348142e-06,0.0,0.0009908942923706001,-0.0016133849544452004,0.0,0.19760375275530004,-0.32126530000259995,0.0,19.585583730120003,-31.69958111304,0.0
0.02,1.3196287301504001e-07,-2.1473696999168e-07,0.0,2.6345967856064004e-05,-4.2833548860288004e-05,0.0,0.0039401240070592,-0.0063963893870464,0.0,0.39162249432480006,-0.6338561690016,0.0,19.213781376960004,-30.81195824832,0.0
0.03,6.6567247973091e-07,-1.0812967849942199e-06,0.0,8.851437892557898e-05,-0.000143587447217118,0.0,0.008810516489455801,-0.0142602648337836,0.0,0.5817932322993001,-0.9373745406906,0.0,18.816134625240004,-29.88535810008,0.0
0.04,2.09611315494912e-06,-3.3987865118310404e-06,0.0,0.00020882792694169606,-0.000338000009592832,0.0,0.015562314645094404,-0.025112365102284803,0.0,0.7678620711168002,-1.2314389357056,0.0,18.393553159680003,-28.92143936256,0.0
0.05,5.098112588281252e-06,-8.251612957812502e-06,0.0,0.0004058914557968751,-0.0006554746347187501,0.0,0.024153267908125005,-0.03885631214125001,0.0,0.9495842120625002,-1.515684461625,0.0,17.946946665000002,-27.92186073,0.0
0.06,1.053039395922048e-05,-1.7013337890716157e-05,0.0,0.0006978752154034561,-0.0011244329726411517,0.0,0.0345387232097856,-0.0553921619098752,0.0,1.1267239532688,-1.7897628129696,0.0,17.477224825920004,-26.88828089664,0.0
0.07,1.9431111388335998e-05,-3.133668501695159e-05,0.0,0.0011024912915068993,-0.0017722800941733583,0.0,0.046671715946874213,-0.07461657024727641,0.0,1.2990546897153004,-2.0533422712026,0.0,16.98529732716,-25.82235855672,0.0
0.08,3.301315423502337e-05,-5.314320694771712e-05,0.0,0.0016369709451837442,-0.002625371319042048,0.0,0.06050306095022081,-0.0964229587419136,0.0,1.4663589132288002,-2.3061077047296004,0.0,16.47207385344,-24.72575240448,0.0
0.09,5.2659229338658157e-05,-8.461262874009113e-05,0.0,0.0023180428620242907,-0.0037089807027278214,0.0,0.07598144345315941,-0.12070168060101479,0.0,1.6284282124833003,-2.5477605688986,0.0,15.938464089480004,-23.600121134160002,0.0
0.1,7.991673030000002e-05,-0.00012817188460000005,0.0,0.0031619123110000003,-0.005047271182,0.0,0.09305351006000002,-0.14734018652,0.0,1.7850632730000002,-2.7780189060000002,0.0,15.385377720000001,-22.44712344,0.0
0.11,0.00011649240289969403,-0.00018648386433400528,0.0,0.004184241213015611,-0.006663266379145662,0.0,0.1116639597145006,-0.17622319055190522,0.0,1.9360738771473003,-2.9966173452666003,0.0,14.813724429720004,-21.268418016240002,0.0
0.12,0.00016424681575071744,-0.0002624358861368524,0.0,0.005400129119145984,-0.008578824064892928,0.0,0.1317556346683392,-0.2072328359768064,0.0,2.0812789041408,-3.2033071028736004,0.0,14.224413903360004,-20.065663557120004,0.0
0.13,0.00022518864528161785,-0.00035912791230172407,0.0,0.00682409509855766,-0.010814611280028478,0.0,0.15326961144958584,-0.2402488611712436,0.0,2.2205063300433006,-3.3978559819386,0.0,13.618355825640002,-18.84051875688,0.0
0.14,0.0003014687841473908,-0.0004798605244401383,0.0,0.00847006053611514,-0.013390081115709314,0.0,0.17614529183117444,-0.2751487654776449,0.0,2.3535932277648004,-3.5800483725216004,0.0,12.996459881280002,-17.59464230976,0.0
0.15,0.0003953742821648437,-0.0006281226747984373,0.0,0.010351332839671875,-0.016323451152468745,0.0,0.200320493799375,-0.31180797507375,0.0,2.4803857670625007,-3.7496852516250003,0.0,12.359635755000003,-16.329692910000002,0.0
0.16,0.0005093221288692941,-0.0008075792302578075,0.0,0.012480590057046017,-0.019631683557916675,0.0,0.22573154252226565,-0.35010000884203524,0.0,2.6007392145408006,-3.9065841831936003,0.0,11.708793131520004,-15.04732925184,0.0
0.17,0.0006458528867894471,-0.0010220583256047697,0.0,0.014869866402680822,-0.023330466843134005,0.0,0.2523133613182043,-0.3898966442391365,0.0,2.7145179336513006,-4.0505793181146,0.0,11.044841695560002,-13.74921002952,0.0
0.18,0.0008076241845373016,-0.0012755385426590896,0.0,0.017530538693989826,-0.027434199277761407,0.0,0.2799995626243008,-0.43106808316527356,0.0,2.8215953846928,-4.1815213942176,0.0,10.368691131840002,-12.436993937280004,0.0
0.19,0.0009974040788099342,-0.0015721359318460473,0.0,0.020473313697386735,-0.0319559739637823,0.0,0.30872253896488944,-0.4734831178336748,0.0,2.9218541248113006,-4.2992777362746,0.0,9.681251125080003,-11.11233966936,0.0
0.2,0.0012180642944000005,-0.0019160908928000002,0.0,0.023708216384000003,-0.036907565568000004,0.0,0.3384135539200001,-0.5170092966400001,0.0,3.0151858080000005,-4.4037322560000005,0.0,8.983431360000003,-9.77690592,0.0
0.21,0.001472573351311808,-0.002311754930586197,0.0,0.027244579095072174,-0.04229941871320918,0.0,0.36900283309383064,-0.5615130900317652,0.0,3.1014911850993006,-4.4947854520506,0.0,8.276141521320003,-8.432351383440004,0.0
0.22,0.0017639895880798117,-0.002763577304127777,0.0,0.031091031617043907,-0.04814063802806157,0.0,0.40041965508321925,-0.6068600563777664,0.0,3.1806801037968007,-4.572354410025601,0.0,7.560291293760002,-7.0803347539200026,0.0
0.23,0.0020954540903863634,-0.00327609158342489,0.0,0.03525549216632274,-0.054438979855625846,0.0,0.43259244244611594,-0.6529150078375037,0.0,3.252671508627301,-4.6363728024666,0.0,6.836790362040002,-5.7225147256800035,0.0
0.24,0.0024701835340755762,-0.003853902132152893,0.0,0.03974515928373657,-0.06120084562064178,0.0,0.4654488526700545,-0.6995421762306048,0.0,3.3173934409728005,-4.6867908888576,0.0,6.106548410880004,-4.3605499929600064,0.0
0.25,0.0028914629516601565,-0.0045016705322265625,0.0,0.04456650463867188,-0.06843127685546875,0.0,0.4989158691406251,-0.74660537890625,0.0,3.3747830390625007,-4.723575515625001,0.0,5.370475125000002,-2.996099250000004,0.0
0.26,0.003362638431418024,-0.00522410196691725,0.0,0.04972526674289659,-0.0761339518847282,0.0,0.5329198921099457,-0.7939681846125953,0.0,3.4247865379728,-4.746710116137601,0.0,4.629480189120002,-1.630821191039999,0.0
0.27,0.003887109758175601,-0.006025931579109952,0.0,0.05522644557406776,-0.08431118416864065,0.0,0.5673868296651343,-0.8414940793661965,0.0,3.4673592696273006,-4.756194710706601,0.0,3.8844732879600024,-0.2663745103199986,0.0
0.28,0.00446832300487459,-0.006911910821287202,0.0,0.06107429810892392,-0.09296392230505678,0.0,0.602242188696781,-0.8890466323214337,0.0,3.502465662796801,-4.7520459065856,0.0,3.1363641062399985,1.0955820979200013,0.0
0.29,0.005109763084019104,-0.00788679381382675,0.0,0.06727233476616216,-0.10209175169018277,0.0,0.6374111658674194,-0.9364896616399347,0.0,3.5300792430993004,-4.734296897970601,0.0,2.3860623286800013,2.453389939439994,0.0
0.3,0.005814946268099999,-0.0089553237282,0.0,0.073823316759,-0.111692897838,0.0,0.6728187385800001,-0.98368740036,0.0,3.550182633000001,-4.702997466000001,0.0,1.6344776400000036,3.8053903199999937,0.0
0.31,0.006587412688093228,-0.01012221921165804,0.0,0.08072925435742173,-0.1217642313583787,0.0,0.7083897559463608,-1.0305046622660252,0.0,3.5627675518113007,-4.6582139787546,0.0,0.8825197249200052,5.149924545359994,0.0
0.32,0.0074307188191291,-0.011392160869992365,0.0,0.08799140606010983,-0.13230127459388621,0.0,0.7440490297556993,-1.0768070077579264,0.0,3.567834815692801,-4.6000293912576,0.0,0.13109826816000236,6.485333921279995,0.0
0.33,0.008348429962429267,-0.012769777824957092,0.0,0.09561027867606083,-0.14329820991528922,0.0,0.779721425443046,-1.1224609097205638,0.0,3.565394337651301,-4.528543245474601,0.0,-0.6188770455599979,7.809959753519998,0.0
0.34,0.009344112732608309,-0.014259634362939701,0.0,0.10358562831588604,-0.1547478896757503,0.0,0.8153319530577346,-1.167333919393165,0.0,3.5554651275408014,-4.443871670313601,0.0,-1.3664965315199993,9.122143347839994,0.0
0.35000000000000003,0.010421327559436724,-0.01586621669146719,0.0,0.1119164622927969,-0.16664184782371877,0.0,0.8508058582318752,-1.2112948322387502,0.0,3.5380752920625005,-4.346147381625,0.0,-2.110850505000002,10.42022601,0.0
0.36,0.011583621213162209,-0.017593919820134644,0.0,0.12060104193327512,-0.1789703131745157,0.0,0.8860687131488258,-1.2542138538135552,0.0,3.5132620347648005,-4.235519682201601,0.0,-2.8510292812799953,11.702549045759994,0.0
0.37,0.012834519362486098,-0.019447034582543096,0.0,0.12963688629742764,-0.19172222434061328,0.0,0.9210465075116643,-1.2959627656364565,0.0,3.481071656043301,-4.1121544617786014,0.0,-3.5861231756399974,12.967453760879991,0.0
0.38,0.014177519174291685,-0.021429734815833643,0.0,0.139020776809026,-0.20488524632060812,0.0,0.955665739511661,-1.3364150910583938,0.0,3.4415595531408014,-3.9762341970336,0.0,-4.315222503360001,14.21328146111999,0.0
0.39,0.015616081964221472,-0.023546064714404805,0.0,0.1487487627952306,-0.21844578874688927,0.0,0.9898535067967497,-1.375446261131795,0.0,3.3947902201473013,-3.8279579515866007,0.0,-5.037417579719996,15.438373452239993,0.0
0.4,0.017153625907200005,-0.0257999263744,0.0,0.15881616793600004,-0.23238902579200002,0.0,1.0235375974400005,-1.4129337804800004,0.0,3.3408372480000006,-3.667541376,0.0,-5.75179872,16.641071039999993,0.0
0.41000000000000003,0.018793518816999262,-0.028195067545552146,0.0,0.1692175976231843,-0.24669891773369426,0.0,1.056646580908091,-1.4487573931666857,0.0,3.279783324483301,-3.4952167077786003,0.0,-6.457456239480003,17.819715530159996,0.0
0.42,0.020539071003943376,-0.030735069606972212,0.0,0.17994694722930374,-0.2613582341786868,0.0,1.0891098990297794,-1.4827992485652868,0.0,3.2117202342288014,-3.311232771369602,0.0,-7.153480453439993,18.97264822847999,0.0
0.43,0.022393528219849627,-0.03342333578346893,0.0,0.19099741128601191,-0.27634857894509857,0.0,1.1208579569643762,-1.5149440672284236,0.0,3.136748858715301,-3.115854978162603,0.0,-7.83896167716,20.09821044071999,0.0
0.44,0.02436006469930238,-0.036263079618986144,0.0,0.20236149357224345,-0.29165041660359475,0.0,1.1518222141702146,-1.5450793067573252,0.0,3.0549791762688017,-2.9093653264896,0.0,-8.51299022592,21.194743472639992,0.0
0.45,0.02644177630635704,-0.039257313723745316,0.0,0.21403101811204686,-0.3072431006772187,0.0,1.1819352753731251,-1.57309532767125,0.0,2.9665302620625007,-2.692062401625002,0.0,-9.174656414999994,22.260588629999994,0.0
0.46,0.02864167379577066,-0.0424088388116796,0.0,0.22599714108210175,-0.3231049034999192,0.0,1.211130981534906,-1.5988855592769158,0.0,2.8715302881168014,-2.4642613757856013,0.0,-9.823050559679999,23.294087218559994,0.0
0.47000000000000003,0.030962676197856243,-0.045720233044746816,0.0,0.23825036362892063,-0.339213047733772,0.0,1.2393445008217945,-1.6223466655379168,0.0,2.770116523299301,-2.226294008130599,0.0,-10.457262975239999,24.293580544079994,0.0
0.48,0.033407604336057384,-0.04919384170070802,0.0,0.25078054559573604,-0.3555437395448955,0.0,1.2665124195729411,-1.643378710944154,0.0,2.6624353333248014,-1.978508644761602,0.0,-11.076383976959992,25.257409912319993,0.0
0.49,0.03597917448634032,-0.0528317671809588,0.0,0.263576920159072,-0.37207220343806174,0.0,1.2925728332688797,-1.661885326381255,0.0,2.5486421807553015,-1.7212702187226026,0.0,-11.679503880119999,26.183916629039985,0.0
0.5,0.038679992187500005,-0.056635859375,0.0,0.27662810937500004,-0.38877271874999997,0.0,1.3174654375000003,-1.6777738750000002,0.0,2.4289016250000017,-1.4549602500000027,0.0,-12.265712999999998,27.07144199999999,0.0
0.51,0.04151254621147718,-0.06060770639813509,0.0,0.2899221406350799,-0.4056186578013958,0.0,1.341131618935021,-1.6909556180857457,0.0,2.303387322315301,-1.1799768455226018,0.0,-12.83410165187999,27.918327330959997,0.0
0.52,0.044479202702783445,-0.06474862571898093,0.0,0.3034464640319856,-0.4225825257075835,0.0,1.3635145462894596,-1.701345880927847,0.0,2.172282025804802,-0.8967346991616006,0.0,-13.38376015104,28.722913927679997,0.0
0.53,0.04758219949613076,-0.06905965569337902,0.0,0.317187970634816,-0.439636001847934,0.0,1.3845592612941064,-1.7088642186890846,0.0,2.035777585419301,-0.6056650917306018,0.0,-13.91377881276,29.483543095919998,0.0
0.54,0.05082364062136261,-0.07354154752129388,0.0,0.33113301167408893,-0.4567499829939352,0.0,1.4042127696634945,-1.7134345822750852,0.0,1.8940749479568002,-0.30721589098560076,0.0,-14.423247952320004,30.19855614144,0.0
0.55,0.05420549100478361,-0.07819475764328596,0.0,0.34526741863642196,-0.47389462809596894,0.0,1.4224241320643756,-1.7149854842037506,0.0,1.7473841570625002,-0.0018515516250040777,0.0,-14.911257884999998,30.866294369999984,0.0
0.56,0.057729571375984175,-0.08301944059314571,0.0,0.35957652426889636,-0.4910394047287789,0.0,1.4391445550841862,-1.7134501644746756,0.0,1.595924353228801,0.309946884710397,0.0,-15.376898926080003,31.48509908735999,0.0
0.5700000000000001,0.06139755338925734,-0.08801544232327572,0.0,0.3740451844931066,-0.5081531371956367,0.0,1.4543274821995247,-1.7087667564385771,0.0,1.4399237737953006,0.6276817894373976,0.0,-15.819261390840005,32.053311599279986,0.0
0.58,0.06521095496870447,-0.09318229401940793,0.0,0.3886578012288941,-0.5252040562911987,0.0,1.4679286847446207,-1.7008784526667142,0.0,1.279619752948803,0.9508389470303967,0.0,-16.23743559455999,32.56927321151998,0.0
0.59,0.06917113588612697,-0.09851920642124333,0.0,0.4033983461277665,-0.54215985072306,0.0,1.47990635287981,-1.6897336708203154,0.0,1.1152587217233003,1.2788875550213976,0.0,-16.63051185252,33.031325229839986,0.0
0.6,0.07327929358079999,-0.1040250646656,0.0,0.41825038521599994,-0.5589877201919999,0.0,1.4902211865600001,-1.6752862195200013,0.0,0.9470962080000006,1.611280223999995,0.0,-16.997580479999996,33.43780895999999,0.0
0.61,0.07753645923022634,-0.10969842366865748,0.0,0.4331971044474285,-0.5756544301309233,0.0,1.4988364865031512,-1.6574954642152062,0.0,0.7753968365073017,1.9474529776133964,0.0,-17.337731792280003,33.787065707759986,0.0
0.62,0.08194349408096611,-0.11553750406388409,0.0,0.4482213361659157,-0.5921263681024961,0.0,1.5057182451587392,-1.6363264930536072,0.0,0.6004343288208016,2.2868252525663966,0.0,-17.65005610464,34.07743677887998,0.0
0.63,0.08650108604863992,-0.12154018871223393,0.0,0.4633055864775131,-0.6083696018554753,0.0,1.5108352376762364,-1.6117502827505445,0.0,0.42249150336330227,2.628799898621399,0.0,-17.933643732359997,34.30726347911999,0.0
0.64,0.09120974659620178,-0.1277040198012004,0.0,0.4784320635323024,-0.6243499390397317,0.0,1.5141591128735752,-1.583743864458445,0.0,0.24186027540480154,2.972763178598398,0.0,-18.187584990719998,34.47488711423998,0.0
0.65,0.09606980789957892,-0.13402619654931408,0.0,0.49358270671592197,-0.6400329885799688,0.0,1.5156644842056257,-1.5522904896362508,0.0,0.05884165706249931,3.3180847683749963,0.0,-18.410970194999997,34.578648989999984,0.0
0.66,0.10108142030977553,-0.14050357353267054,0.0,0.5087392167507789,-0.6553842237081342,0.0,1.5153290207326657,-1.5173797959188364,0.0,-0.12625424269919983,3.664117756886394,0.0,-18.602889660480002,34.61689041215998,0.0
0.67,0.10624455012053667,-0.14713265965007635,0.0,0.5238830867069455,-0.6703690466545272,0.0,1.5131335380888546,-1.4790079729864365,0.0,-0.3131082180687005,4.0101986461253984,0.0,-18.76243370244,34.58795268647999,0.0
0.68,0.11155897765066984,-0.15390961774339904,0.0,0.5389956339227403,-0.6849528549975984,0.0,1.5090620894507012,-1.4371779284340735,0.0,-0.5013919663872004,4.355647351142395,0.0,-18.888692636160002,34.49017711871998,0.0
0.6900000000000001,0.11702429565012076,-0.1608302648897091,0.0,0.5540580328349941,-0.6991011096724447,0.0,1.5031020565055397,-1.3918994536409763,0.0,-0.6907680881486995,4.699767200045397,0.0,-18.980756776920003,34.321905014639974,0.0
0.7000000000000001,0.12263990803890004,-0.16789007338180004,0.0,0.5690513487190001,-0.712779404638,0.0,1.4952442404200006,-1.3431893896400007,0.0,-0.8808900870000003,5.041844934000002,0.0,-19.037716439999997,34.081477679999985,0.0
0.71,0.128405028987958,-0.17508417241367394,0.0,0.5839565723381499,-0.7259535382029169,0.0,1.4854829528084816,-1.2910717929870668,0.0,-1.0714023697406976,5.381150707229395,0.0,-19.058661940680004,33.767236420559975,0.0
0.72,0.13431868235110417,-0.18240735048757933,0.0,0.5987546555032534,-0.7385895860101449,0.0,1.47381610670162,-1.235578101630568,0.0,-1.261940246323197,5.716938087014395,0.0,-19.042683594239996,33.37752254207998,0.0
0.73,0.14037970145706846,-0.1898540585591882,0.0,0.6134265475415431,-0.7506539756802026,0.0,1.460245307514766,-1.1767473007808047,0.0,-1.452129929852698,6.0484440536933946,0.0,-18.988871715960002,32.91067735031998,0.0
0.74,0.1465867292708007,-0.19741841393749937,0.0,0.6279532326753638,-0.7621135631131442,0.0,1.4447759440164556,-1.1146260887794062,0.0,-1.6415885365871985,6.374889000662394,0.0,-18.89631662112,32.36504215103998,0.0
0.75,0.1529382189331055,-0.20509420495605463,0.0,0.6423157683105468,-0.7729357104492188,0.0,1.4274172792968756,-1.0492690429687512,0.0,-1.8299240859374954,6.6954767343749975,0.0,-18.764108625,31.738958249999975,0.0
0.76,0.1594324346877095,-0.21287489643205576,0.0,0.6564953242344694,-0.7830883656882257,0.0,1.408182541736346,-0.9807387855613974,0.0,-2.0167355004672,7.0093944743423915,0.0,-18.591338042879997,31.030766952959972,0.0
0.77,0.16606745320485752,-0.2207536359299673,0.0,0.6704732227237974,-0.7925401439675636,0.0,1.3870890159737843,-0.9091061495094969,0.0,-2.201612605892698,7.315812853133392,0.0,-18.377095190039995,30.238809565679972,0.0
0.78,0.17284116531053417,-0.22872326084619476,0.0,0.6842309795619144,-0.8012604104989738,0.0,1.3641581338751816,-0.8344503443742336,0.0,-2.3841361310831988,7.613885916374391,0.0,-18.120470381760008,29.361427393919968,0.0
