# time[s],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],qw,qx,qy,qz,wx[rad/s],wy[rad/s],wz[rad/s],rpm1,rpm2,rpm3,rpm4
0.000000000000000000e+00,-2.951216185465455055e-03,2.803666051477193832e-03,6.993215680122375488e-01,2.074017655104398727e-03,-1.100013870745897293e-02,-1.069654058665037155e-02,9.999932646751403809e-01,3.344764234498143196e-03,-5.459534586407244205e-04,-5.416035128291696310e-05,-6.738003536766033752e-02,-1.118039467115954921e-01,2.816914430396029803e-04,1.898700000000000000e+04,1.990000000000000000e+04,2.061800000000000000e+04,1.912000000000000000e+04
1.967999999993480607e-03,-2.951216185465455055e-03,2.803666051477193832e-03,6.993215680122375488e-01,2.074017655104398727e-03,-1.100013870745897293e-02,-1.069654058665037155e-02,9.999932646751403809e-01,3.344764234498143196e-03,-5.459534586407244205e-04,-5.416035128291696310e-05,-9.026045487621080221e-02,-1.085793496518355217e-01,-8.820445706396680408e-03,1.900500000000000000e+04,1.990000000000000000e+04,2.063200000000000000e+04,1.911400000000000000e+04
3.945999999996274536e-03,-2.968215616419911385e-03,2.860614098608493805e-03,6.996319293975830078e-01,1.954483566805720329e-03,-1.095089223235845566e-02,-9.792040102183818817e-03,9.999935626983642578e-01,3.203094471246004105e-03,-7.619743701070547104e-04,-6.124121136963367462e-05,-7.814617616349589513e-02,-8.354179878864527453e-02,-3.354874947156907122e-02,1.899300000000000000e+04,1.992600000000000000e+04,2.063900000000000000e+04,1.911400000000000000e+04
5.964000000036321324e-03,-2.968215616419911385e-03,2.860614098608493805e-03,6.996319293975830078e-01,1.954483566805720329e-03,-1.095089223235845566e-02,-9.792040102183818817e-03,9.999935626983642578e-01,3.203094471246004105e-03,-7.619743701070547104e-04,-6.124121136963367462e-05,-6.658182773231474672e-02,-5.362106326711814364e-02,-3.578887366427303124e-02,1.898100000000000000e+04,1.990700000000000000e+04,2.063900000000000000e+04,1.910800000000000000e+04
7.927000000025146570e-03,-2.960516838356852531e-03,2.816309686750173569e-03,6.995924711227416992e-01,1.894906628876924515e-03,-1.120135840028524399e-02,-9.940424002707004547e-03,9.999939203262329102e-01,3.052434418350458145e-03,-9.131970582529902458e-04,-1.268627675017341971e-04,-8.550589673733553775e-02,-3.797962326648583742e-02,-1.822417778698035701e-02,1.898100000000000000e+04,1.991300000000000000e+04,2.063200000000000000e+04,1.913200000000000000e+04
2.171200000005774067e-02,-2.963796257972717285e-03,2.798088127747178078e-03,6.997067928314208984e-01,1.580879790708422661e-03,-1.152397319674491882e-02,-9.800553321838378906e-03,9.999950528144836426e-01,2.406770363450050354e-03,-1.404888113029301167e-03,-3.538472228683531284e-04,-9.926188942640819246e-02,-1.459863142213594506e-02,5.034923670990129607e-02,1.889700000000000000e+04,1.998000000000000000e+04,2.059000000000000000e+04,1.923600000000000000e+04
2.367900000000372485e-02,-2.976251998916268349e-03,2.855148632079362869e-03,6.998197436332702637e-01,1.424742164090275764e-03,-1.146442350000143051e-02,-9.032431058585643768e-03,9.999954104423522949e-01,2.220993861556053162e-03,-1.461763167753815651e-03,-2.709319232963025570e-04,-9.999711330197341708e-02,-4.251398791748200318e-02,9.981874184618155788e-03,1.889100000000000000e+04,1.996600000000000000e+04,2.061800000000000000e+04,1.918700000000000000e+04
2.569900000002235327e-02,-2.976251998916268349e-03,2.855148632079362869e-03,6.998197436332702637e-01,1.424742164090275764e-03,-1.146442350000143051e-02,-9.032431058585643768e-03,9.999954104423522949e-01,2.220993861556053162e-03,-1.461763167753815651e-03,-2.709319232963025570e-04,-1.211225720699997260e-01,-1.037225760613716408e-01,-3.172845181877009119e-02,1.889100000000000000e+04,1.995300000000000000e+04,2.063900000000000000e+04,1.915700000000000000e+04
2.766700000001583171e-02,-2.970774890854954720e-03,2.808954101055860519e-03,6.997809410095214844e-01,1.314236666075885296e-03,-1.163338311016559601e-02,-1.035958528518676758e-02,9.999957084655761719e-01,2.001600107178092003e-03,-1.607769983820617199e-03,-2.949270128738135099e-04,-1.424391376133744280e-01,-1.416881095412152736e-01,-3.735133363106570709e-02,1.893300000000000000e+04,1.996000000000000000e+04,2.063900000000000000e+04,1.918700000000000000e+04
2.960900000005494900e-02,-2.970774890854954720e-03,2.808954101055860519e-03,6.997809410095214844e-01,1.314236666075885296e-03,-1.163338311016559601e-02,-1.035958528518676758e-02,9.999957084655761719e-01,2.001600107178092003e-03,-1.607769983820617199e-03,-2.949270128738135099e-04,-1.336152776512364859e-01,-1.204148370103111654e-01,9.040681846465128957e-03,1.887300000000000000e+04,1.996000000000000000e+04,2.063200000000000000e+04,1.918100000000000000e+04
3.158100000000559071e-02,-2.965761814266443253e-03,2.762117190286517143e-03,6.997368335723876953e-01,1.192991039715707302e-03,-1.178582385182380676e-02,-1.169225480407476425e-02,9.999957084655761719e-01,1.725431531667709351e-03,-1.872324850410223007e-03,-3.404559975024312735e-04,-1.105603420286909583e-01,-5.912952485989202839e-02,7.270144318336976830e-02,1.887900000000000000e+04,1.995300000000000000e+04,2.064600000000000000e+04,1.916900000000000000e+04
3.354799999995156795e-02,-2.965761814266443253e-03,2.762117190286517143e-03,6.997368335723876953e-01,1.192991039715707302e-03,-1.178582385182380676e-02,-1.169225480407476425e-02,9.999957084655761719e-01,1.725431531667709351e-03,-1.872324850410223007e-03,-3.404559975024312735e-04,-1.023966047993779965e-01,-7.518971365242566388e-03,9.099951536822142861e-02,1.889700000000000000e+04,1.994600000000000000e+04,2.064600000000000000e+04,1.916900000000000000e+04
3.556999999994877454e-02,-2.961281454190611839e-03,2.714705187827348709e-03,6.996894478797912598e-01,1.047230907715857029e-03,-1.192032173275947571e-02,-1.199414581060409546e-02,9.999958872795104980e-01,1.505673746578395367e-03,-1.966441515833139420e-03,-1.925295364344492555e-04,-9.926770676891433220e-02,-8.996593461689475111e-05,4.532137166415663859e-02,1.887300000000000000e+04,1.994000000000000000e+04,2.066800000000000000e+04,1.917500000000000000e+04
3.753200000000651848e-02,-2.961281454190611839e-03,2.714705187827348709e-03,6.996894478797912598e-01,1.047230907715857029e-03,-1.192032173275947571e-02,-1.199414581060409546e-02,9.999958872795104980e-01,1.505673746578395367e-03,-1.966441515833139420e-03,-1.925295364344492555e-04,-1.073716560317550250e-01,-3.652845846612325087e-02,-1.029492356927046506e-02,1.891500000000000000e+04,1.992000000000000000e+04,2.068900000000000000e+04,1.916300000000000000e+04
