t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.51952,0.0
0.01,0.0,1.335973421881e-08,0.0,0.0,5.3249846547670005e-06,0.0,0.0,0.0015880603538201998,0.0,0.0,0.3138497273901,0.0,0.0,30.26209914804,0.0
0.02,0.0,2.1074585303168003e-07,0.0,0.0,4.1849733412288005e-05,0.0,0.0,0.0062029105990464,0.0,0.0,0.6054739736016,0.0,0.0,28.074275488319998,0.0
0.03,0.0,1.05182016986547e-06,0.0,0.0,0.00013874243359074298,0.0,0.0,0.013625760955908598,0.0,0.0,0.8755642622780999,0.0,0.0,25.95515936508,0.0
0.04,0.0,3.2771017655910404e-06,0.0,0.0,0.000323017802616832,0.0,0.0,0.0236446923982848,0.0,0.0,1.1248032205056,0.0,0.0,23.90386112256,0.0
0.05,0.0,7.886774344531252e-06,0.0,0.0,0.0006196053507343752,0.0,0.0,0.036054567688125004,0.0,0.0,1.3538645788124999,0.0,0.0,21.919491105,0.0
0.06,0.0,1.612017176927616e-05,0.0,0.0,0.001051416754057152,0.0,0.0,0.0506569424098752,0.0,0.0,1.5634131711696,0.0,0.0,20.00115965664,0.0
0.07,0.0,2.9435932877747844e-05,0.0,0.0,0.0016394123379659834,0.0,0.0,0.06725997600490141,0.0,0.0,1.7541049349901001,0.0,0.0,18.147977121719997,0.0
0.08,0.0,4.949281668595713e-05,0.0,0.0,0.002402666670850048,0.0,0.0,0.08567834280591359,0.0,0.0,1.9265869111296,0.0,0.0,16.359053844479998,0.0
0.09,0.0,7.813116907989488e-05,0.0,0.0,0.0033584332681924466,0.0,0.0,0.10573314307138978,0.0,0.0,2.0814972438861,0.0,0.0,14.633500169159998,0.0
0.1,0.0,0.00011735503210000003,0.0,0.0,0.004522208407,0.0,0.0,0.12725181402000002,0.0,0.0,2.219465181,0.0,0.0,12.970426439999997,0.0
0.11,0.0,0.0001693148869216465,0.0,0.0,0.005907794050577287,0.0,0.0,0.1500680408650302,0.0,0.0,2.3411110736541,0.0,0.0,11.368943001239998,0.0
0.12,0.0,0.00023629102163509242,0.0,0.0,0.007527359883644928,0.0,0.0,0.17402166784880638,0.0,0.0,2.4470463764735997,0.0,0.0,9.828160197119999,0.0
0.13,0.0,0.0003206775149283329,0.0,0.0,0.009391504457802104,0.0,0.0,0.19895860927711861,0.0,0.0,2.5378736475261,0.0,0.0,8.347188371879994,0.0
0.14,0.0,0.0004249668267762984,0.0,0.0,0.011509315447333317,0.0,0.0,0.2247307605536448,0.0,0.0,2.6141865483216002,0.0,0.0,6.925137869759997,0.0
0.15,0.0,0.0005517349872398438,0.0,0.0,0.013888429015359374,0.0,0.0,0.25119590921437496,0.0,0.0,2.6765698438125,0.0,0.0,5.561119034999994,0.0
0.16,0.0,0.0007036273744779674,0.0,0.0,0.016535088290332674,0.0,0.0,0.27821764596203524,0.0,0.0,2.7255994023936,0.0,0.0,4.254242211839994,0.0
